time,X,Y,speed,acc,real_acc
0,2227381.287,934268.5586,0.33,0.01,0
1,2227381.081,934268.2948,0.33,0.01,0
2,2227380.865,934268.0287,0.34,0.01,0.01
3,2227380.636,934267.7603,0.35,0.01,0.01
4,2227380.393,934267.4896,0.36,0.01,0.01
5,2227380.132,934267.2165,0.38,0.02,0.02
6,2227379.847,934266.9419,0.4,0.03,0.02
7,2227379.511,934266.6696,0.43,0.05,0.03
8,2227379.092,934266.4044,0.5,0.08,0.07
9,2227378.561,934266.151,0.59,0.11,0.09
10,2227377.885,934265.9141,0.72,0.15,0.13
11,2227377.034,934265.6984,0.88,0.17,0.16
12,2227375.976,934265.5087,1.07,0.21,0.19
13,2227374.68,934265.3496,1.31,0.24,0.24
14,2227373.118,934265.2263,1.57,0.26,0.26
15,2227371.272,934265.1447,1.85,0.29,0.28
16,2227369.124,934265.1114,2.15,0.3,0.3
17,2227366.66,934265.1326,2.46,0.31,0.31
18,2227363.863,934265.2149,2.8,0.35,0.34
19,2227360.718,934265.3645,3.15,0.36,0.35
20,2227357.227,934265.5934,3.5,0.35,0.35
21,2227353.473,934265.935,3.77,0.28,0.27
22,2227349.555,934266.4281,3.95,0.23,0.18
23,2227345.573,934267.1115,4.04,0.2,0.09
24,2227341.63,934268.0243,4.05,0.23,0.01
25,2227337.824,934269.2051,3.98,0.3,-0.07
26,2227334.248,934270.6927,3.87,0.39,-0.11
27,2227330.956,934272.5251,3.77,0.45,-0.1
28,2227327.994,934274.7399,3.7,0.5,-0.07
29,2227325.408,934277.3749,3.69,0.56,-0.01
30,2227323.244,934280.4678,3.77,0.63,0.08
31,2227321.549,934284.0563,3.97,0.68,0.2
32,2227320.352,934288.168,4.28,0.72,0.31
33,2227319.628,934292.7894,4.68,0.7,0.4
34,2227319.335,934297.8969,5.12,0.65,0.44
35,2227319.432,934303.4668,5.57,0.6,0.45
36,2227319.878,934309.4755,6.03,0.56,0.46
37,2227320.634,934315.8893,6.46,0.51,0.43
38,2227321.67,934322.635,6.82,0.44,0.36
39,2227322.959,934329.6295,7.11,0.35,0.29
40,2227324.472,934336.7895,7.32,0.28,0.21
41,2227326.183,934344.0319,7.44,0.22,0.12
42,2227328.064,934351.2734,7.48,0.17,0.04
43,2227330.093,934358.4269,7.44,0.17,-0.04
44,2227332.27,934365.3892,7.29,0.24,-0.15
45,2227334.6,934372.0531,7.06,0.34,-0.23
46,2227337.089,934378.3115,6.74,0.43,-0.32
47,2227339.743,934384.0571,6.33,0.53,-0.41
48,2227342.57,934389.2006,5.87,0.64,-0.46
49,2227345.593,934393.7245,5.44,0.65,-0.43
50,2227348.841,934397.629,5.08,0.66,-0.36
51,2227352.34,934400.9143,4.8,0.66,-0.28
52,2227356.116,934403.5806,4.62,0.68,-0.18
53,2227360.197,934405.6282,4.57,0.69,-0.05
54,2227364.604,934407.0694,4.64,0.69,0.07
55,2227369.333,934407.9643,4.81,0.64,0.17
56,2227374.373,934408.3852,5.06,0.56,0.25
57,2227379.716,934408.4043,5.34,0.5,0.28
58,2227385.35,934408.0937,5.64,0.44,0.3
59,2227391.267,934407.5257,5.94,0.39,0.3
60,2227397.46,934406.7644,6.24,0.33,0.3
61,2227403.938,934405.8412,6.54,0.33,0.3
62,2227410.712,934404.7794,6.86,0.32,0.32
63,2227417.794,934403.6024,7.18,0.33,0.32
64,2227425.198,934402.3334,7.51,0.33,0.33
65,2227432.924,934400.9943,7.84,0.34,0.33
66,2227440.933,934399.6014,8.13,0.28,0.29
67,2227449.178,934398.1694,8.37,0.23,0.24
68,2227457.608,934396.7132,8.56,0.19,0.19
69,2227466.175,934395.2475,8.69,0.14,0.13
70,2227474.83,934393.7873,8.78,0.08,0.09
71,2227483.518,934392.3462,8.81,0.04,0.03
72,2227492.16,934390.9345,8.76,0.06,-0.05
73,2227500.671,934389.5612,8.62,0.14,-0.14
74,2227508.965,934388.2355,8.4,0.22,-0.22
75,2227516.959,934386.9665,8.09,0.31,-0.31
76,2227524.584,934385.7608,7.72,0.37,-0.37
77,2227531.842,934384.6142,7.35,0.36,-0.37
78,2227538.752,934383.5201,7,0.36,-0.35
79,2227545.335,934382.4717,6.67,0.33,-0.33
80,2227551.608,934381.4624,6.35,0.31,-0.32
81,2227557.592,934380.4855,6.06,0.29,-0.29
82,2227563.318,934379.5341,5.8,0.25,-0.26
83,2227568.862,934378.6003,5.62,0.19,-0.18
84,2227574.313,934377.6764,5.53,0.09,-0.09
85,2227579.76,934376.7543,5.52,0,-0.01
86,2227585.292,934375.826,5.61,0.08,0.09
87,2227590.998,934374.8837,5.78,0.18,0.17
88,2227596.951,934373.9202,6.03,0.24,0.25
89,2227603.165,934372.9311,6.29,0.26,0.26
90,2227609.639,934371.9131,6.55,0.26,0.26
91,2227616.372,934370.8627,6.81,0.26,0.26
92,2227623.362,934369.7765,7.07,0.26,0.26
93,2227630.604,934368.6512,7.33,0.25,0.26
94,2227638.08,934367.485,7.57,0.24,0.24
95,2227645.768,934366.2762,7.78,0.21,0.21
96,2227653.644,934365.0233,7.98,0.19,0.2
97,2227661.687,934363.7247,8.15,0.17,0.17
98,2227669.874,934362.3787,8.3,0.16,0.15
99,2227678.186,934360.9844,8.43,0.13,0.13
100,2227686.606,934359.5433,8.54,0.12,0.11
101,2227695.124,934358.0578,8.65,0.11,0.11
102,2227703.727,934356.53,8.74,0.09,0.09
103,2227712.401,934354.9621,8.81,0.08,0.07
104,2227721.135,934353.3563,8.88,0.07,0.07
105,2227729.919,934351.7141,8.94,0.06,0.06
106,2227738.742,934350.037,8.98,0.06,0.04
107,2227747.595,934348.3262,9.02,0.04,0.04
108,2227756.467,934346.5833,9.04,0.04,0.02
109,2227765.348,934344.8097,9.06,0.03,0.02
110,2227774.231,934343.006,9.06,0.03,0
111,2227783.116,934341.1698,9.07,0.04,0.01
112,2227792.005,934339.2978,9.08,0.03,0.01
113,2227800.9,934337.387,9.1,0.04,0.02
114,2227809.803,934335.4342,9.12,0.04,0.02
115,2227818.718,934333.436,9.14,0.05,0.02
116,2227827.638,934331.3884,9.15,0.05,0.01
117,2227836.529,934329.2833,9.14,0.07,-0.01
118,2227845.35,934327.1116,9.08,0.09,-0.06
119,2227854.057,934324.8642,8.99,0.14,-0.09
120,2227862.609,934322.532,8.86,0.18,-0.13
121,2227870.969,934320.1093,8.7,0.21,-0.16
122,2227879.12,934317.6034,8.53,0.23,-0.17
123,2227887.05,934315.0249,8.34,0.23,-0.19
124,2227894.748,934312.3843,8.14,0.24,-0.2
125,2227902.201,934309.6923,7.92,0.25,-0.22
126,2227909.398,934306.9596,7.7,0.25,-0.22
127,2227916.328,934304.198,7.46,0.27,-0.24
128,2227922.991,934301.4253,7.22,0.27,-0.24
129,2227929.385,934298.6604,6.97,0.27,-0.25
130,2227935.509,934295.9226,6.71,0.27,-0.26
131,2227941.365,934293.2308,6.44,0.26,-0.27
132,2227946.955,934290.6031,6.18,0.28,-0.26
133,2227952.303,934288.0538,5.92,0.25,-0.26
134,2227957.433,934285.5963,5.69,0.24,-0.23
135,2227962.373,934283.2437,5.47,0.22,-0.22
136,2227967.149,934281.0095,5.27,0.2,-0.2
137,2227971.788,934278.9068,5.09,0.19,-0.18
138,2227976.31,934276.9519,4.93,0.19,-0.16
139,2227980.717,934275.172,4.75,0.2,-0.18
140,2227985.006,934273.5971,4.57,0.24,-0.18
141,2227989.172,934272.2573,4.38,0.26,-0.19
142,2227993.212,934271.1828,4.18,0.3,-0.2
143,2227997.122,934270.4036,3.99,0.32,-0.19
144,2228000.907,934269.9394,3.81,0.35,-0.18
145,2228004.604,934269.7688,3.7,0.3,-0.11
146,2228008.262,934269.8602,3.66,0.26,-0.04
147,2228011.925,934270.1819,3.68,0.23,0.02
148,2228015.642,934270.7021,3.75,0.21,0.07
149,2228019.461,934271.3786,3.88,0.19,0.13
150,2228023.44,934272.127,4.05,0.17,0.17
151,2228027.639,934272.8523,4.26,0.22,0.21
152,2228032.12,934273.4594,4.52,0.3,0.26
153,2228036.942,934273.8535,4.84,0.4,0.32
154,2228042.165,934273.9394,5.22,0.5,0.38
155,2228047.837,934273.6403,5.68,0.6,0.46
156,2228053.943,934272.9513,6.14,0.59,0.46
157,2228060.457,934271.8855,6.6,0.55,0.46
158,2228067.351,934270.4563,7.04,0.52,0.44
159,2228074.598,934268.6767,7.46,0.5,0.42
160,2228082.164,934266.5655,7.86,0.46,0.4
161,2228089.993,934264.1637,8.19,0.39,0.33
162,2228098.021,934261.5177,8.45,0.32,0.26
163,2228106.184,934258.6741,8.64,0.23,0.19
164,2228114.419,934255.6793,8.76,0.17,0.12
165,2228122.663,934252.5799,8.81,0.11,0.05
166,2228130.86,934249.419,8.78,0.07,-0.03
167,2228138.978,934246.2262,8.72,0.09,-0.06
168,2228146.997,934243.028,8.63,0.1,-0.09
169,2228154.894,934239.8505,8.51,0.12,-0.12
170,2228162.645,934236.72,8.36,0.16,-0.15
171,2228170.229,934233.663,8.18,0.18,-0.18
172,2228177.636,934230.6988,7.98,0.2,-0.2
173,2228184.91,934227.8194,7.82,0.16,-0.16
174,2228192.107,934225.0098,7.73,0.1,-0.09
175,2228199.285,934222.255,7.69,0.06,-0.04
176,2228206.501,934219.5402,7.71,0.06,0.02
177,2228213.807,934216.8502,7.79,0.09,0.08
178,2228221.242,934214.1695,7.9,0.12,0.11
179,2228228.84,934211.4825,8.06,0.17,0.16
180,2228236.637,934208.7733,8.25,0.2,0.19
181,2228244.666,934206.0263,8.49,0.23,0.24
182,2228252.963,934203.2258,8.76,0.27,0.27
183,2228261.545,934200.3607,9.05,0.29,0.29
184,2228270.365,934197.4378,9.29,0.25,0.24
185,2228279.36,934194.4684,9.47,0.18,0.18
186,2228288.465,934191.4641,9.59,0.12,0.12
187,2228297.617,934188.4362,9.64,0.05,0.05
188,2228306.746,934185.3921,9.62,0.02,-0.02
189,2228315.757,934182.3234,9.52,0.12,-0.1
190,2228324.549,934179.2179,9.32,0.22,-0.2
191,2228333.02,934176.0631,9.04,0.32,-0.28
192,2228341.07,934172.8467,8.67,0.43,-0.37
193,2228348.597,934169.5564,8.21,0.52,-0.46
194,2228355.508,934166.1719,7.7,0.63,-0.51
195,2228361.744,934162.6416,7.17,0.69,-0.53
