time,X,Y,speed,acc,real_acc
0,2227411.566,934270.4794,2.66,0.02,0
1,2227409.41,934268.882,2.68,0.03,0.02
2,2227407.219,934267.2975,2.7,0.04,0.02
3,2227404.983,934265.7441,2.72,0.06,0.02
4,2227402.695,934264.2399,2.74,0.07,0.02
5,2227400.343,934262.8028,2.76,0.08,0.02
6,2227397.919,934261.4511,2.78,0.11,0.02
7,2227395.412,934260.2026,2.8,0.13,0.02
8,2227392.813,934259.0756,2.83,0.15,0.03
9,2227390.113,934258.088,2.87,0.17,0.04
10,2227387.311,934257.2614,2.92,0.19,0.05
11,2227384.438,934256.6314,2.94,0.21,0.02
12,2227381.535,934256.2367,2.93,0.24,-0.01
13,2227378.643,934256.1165,2.89,0.27,-0.04
14,2227375.802,934256.3096,2.85,0.31,-0.04
15,2227373.053,934256.8551,2.8,0.37,-0.05
16,2227370.436,934257.7919,2.78,0.41,-0.02
17,2227367.992,934259.1589,2.8,0.47,0.02
18,2227365.758,934260.9887,2.89,0.51,0.09
19,2227363.76,934263.2877,3.05,0.52,0.16
20,2227362.019,934266.056,3.27,0.54,0.22
21,2227360.56,934269.2936,3.55,0.55,0.28
22,2227359.402,934273.0006,3.88,0.56,0.33
23,2227358.57,934277.177,4.26,0.57,0.38
24,2227358.077,934281.8137,4.66,0.57,0.4
25,2227357.903,934286.8645,5.05,0.52,0.39
26,2227358.019,934292.2745,5.41,0.46,0.36
27,2227358.397,934297.9883,5.73,0.4,0.32
28,2227359.01,934303.9508,5.99,0.34,0.26
29,2227359.828,934310.1069,6.21,0.29,0.22
30,2227360.823,934316.4012,6.37,0.22,0.16
31,2227361.968,934322.7793,6.48,0.17,0.11
32,2227363.232,934329.1889,6.53,0.12,0.05
33,2227364.587,934335.5782,6.53,0.1,0
34,2227366.004,934341.8956,6.47,0.09,-0.06
35,2227367.454,934348.0893,6.36,0.13,-0.11
36,2227368.909,934354.1078,6.19,0.17,-0.17
37,2227370.339,934359.8992,5.97,0.23,-0.22
38,2227371.72,934365.4162,5.69,0.27,-0.28
39,2227373.048,934370.6282,5.38,0.31,-0.31
40,2227374.323,934375.5088,5.04,0.34,-0.34
41,2227375.545,934380.0318,4.69,0.36,-0.35
42,2227376.715,934384.1707,4.3,0.38,-0.39
43,2227377.832,934387.8994,3.89,0.41,-0.41
44,2227378.902,934391.1989,3.47,0.43,-0.42
45,2227379.948,934394.081,3.07,0.42,-0.4
46,2227380.998,934396.5649,2.7,0.4,-0.37
47,2227382.079,934398.6696,2.37,0.38,-0.33
48,2227383.22,934400.4144,2.08,0.36,-0.29
49,2227384.449,934401.8185,1.87,0.35,-0.21
50,2227385.792,934402.9011,1.73,0.34,-0.14
51,2227387.28,934403.6826,1.68,0.34,-0.05
52,2227388.942,934404.1888,1.74,0.32,0.06
53,2227390.812,934404.4468,1.89,0.33,0.15
54,2227392.92,934404.4836,2.11,0.33,0.22
55,2227395.299,934404.3263,2.38,0.34,0.27
56,2227397.981,934404.002,2.7,0.34,0.32
57,2227400.992,934403.5358,3.05,0.36,0.35
58,2227404.337,934402.9449,3.4,0.36,0.35
59,2227408.017,934402.2444,3.75,0.35,0.35
60,2227412.03,934401.4497,4.09,0.34,0.34
61,2227416.378,934400.5759,4.43,0.35,0.34
62,2227421.058,934399.6383,4.77,0.34,0.34
63,2227426.073,934398.6521,5.11,0.33,0.34
64,2227431.416,934397.631,5.44,0.33,0.33
65,2227437.065,934396.5827,5.75,0.31,0.31
66,2227442.993,934395.5132,6.02,0.28,0.27
67,2227449.172,934394.4288,6.27,0.25,0.25
68,2227455.577,934393.3355,6.5,0.22,0.23
69,2227462.179,934392.2394,6.69,0.2,0.19
70,2227468.951,934391.1467,6.86,0.17,0.17
71,2227475.864,934390.0632,7,0.14,0.14
72,2227482.877,934388.9936,7.09,0.1,0.09
73,2227489.947,934387.9423,7.15,0.06,0.06
74,2227497.03,934386.9137,7.16,0.02,0.01
75,2227504.083,934385.9122,7.12,0.04,-0.04
76,2227511.064,934384.942,7.05,0.08,-0.07
77,2227517.932,934384.0067,6.93,0.11,-0.12
78,2227524.664,934383.1051,6.79,0.15,-0.14
79,2227531.239,934382.2352,6.63,0.15,-0.16
80,2227537.639,934381.3949,6.45,0.18,-0.18
81,2227543.843,934380.5821,6.26,0.2,-0.19
82,2227549.83,934379.7947,6.04,0.21,-0.22
83,2227555.582,934379.0305,5.8,0.24,-0.24
84,2227561.089,934378.2869,5.56,0.24,-0.24
85,2227566.39,934377.558,5.35,0.21,-0.21
86,2227571.533,934376.8374,5.19,0.16,-0.16
87,2227576.567,934376.1186,5.09,0.11,-0.1
88,2227581.542,934375.3952,5.03,0.05,-0.06
89,2227586.507,934374.6607,5.02,0.02,-0.01
90,2227591.511,934373.9086,5.06,0.04,0.04
91,2227596.599,934373.1333,5.15,0.09,0.09
92,2227601.8,934372.3324,5.26,0.11,0.11
93,2227607.14,934371.5042,5.4,0.14,0.14
94,2227612.645,934370.6471,5.57,0.17,0.17
95,2227618.341,934369.7594,5.76,0.19,0.19
96,2227624.252,934368.8397,5.98,0.21,0.22
97,2227630.396,934367.8869,6.22,0.23,0.24
98,2227636.76,934366.9024,6.44,0.22,0.22
99,2227643.32,934365.8885,6.64,0.2,0.2
100,2227650.054,934364.8472,6.81,0.17,0.17
101,2227656.939,934363.7808,6.97,0.16,0.16
102,2227663.954,934362.6913,7.1,0.12,0.13
103,2227671.076,934361.581,7.21,0.11,0.11
104,2227678.28,934360.4526,7.29,0.08,0.08
105,2227685.538,934359.3119,7.35,0.06,0.06
106,2227692.818,934358.1656,7.37,0.02,0.02
107,2227700.091,934357.02,7.36,0.01,-0.01
108,2227707.326,934355.8818,7.32,0.04,-0.04
109,2227714.491,934354.7575,7.25,0.06,-0.07
110,2227721.56,934353.6525,7.15,0.1,-0.1
111,2227728.515,934352.5684,7.04,0.11,-0.11
112,2227735.345,934351.5057,6.91,0.13,-0.13
113,2227742.038,934350.465,6.77,0.14,-0.14
114,2227748.579,934349.4468,6.62,0.15,-0.15
115,2227754.956,934348.4516,6.45,0.16,-0.17
116,2227761.157,934347.4799,6.28,0.18,-0.17
117,2227767.172,934346.532,6.09,0.19,-0.19
118,2227773.006,934345.606,5.91,0.18,-0.18
119,2227778.668,934344.6999,5.73,0.17,-0.18
120,2227784.166,934343.8117,5.57,0.16,-0.16
121,2227789.509,934342.9392,5.41,0.16,-0.16
122,2227794.706,934342.0803,5.27,0.14,-0.14
123,2227799.765,934341.2331,5.13,0.14,-0.14
124,2227804.698,934340.3932,5,0.13,-0.13
125,2227809.53,934339.5481,4.9,0.1,-0.1
126,2227814.288,934338.6832,4.84,0.07,-0.06
127,2227819.002,934337.7837,4.8,0.06,-0.04
128,2227823.7,934336.8349,4.79,0.05,-0.01
129,2227828.409,934335.8223,4.82,0.06,0.03
130,2227833.156,934334.7321,4.87,0.09,0.05
131,2227837.953,934333.5545,4.94,0.1,0.07
132,2227842.812,934332.2809,5.02,0.11,0.08
133,2227847.744,934330.9025,5.12,0.13,0.1
134,2227852.759,934329.4107,5.23,0.14,0.11
135,2227857.869,934327.7966,5.36,0.15,0.13
136,2227863.085,934326.0516,5.5,0.18,0.14
137,2227868.41,934324.17,5.65,0.17,0.15
138,2227873.824,934322.1583,5.78,0.15,0.13
139,2227879.298,934320.0261,5.87,0.13,0.09
140,2227884.804,934317.783,5.95,0.12,0.08
141,2227890.313,934315.4386,5.99,0.1,0.04
142,2227895.798,934313.0025,6,0.1,0.01
143,2227901.234,934310.4859,5.99,0.09,-0.01
144,2227906.61,934307.9067,5.96,0.08,-0.03
145,2227911.918,934305.2846,5.92,0.08,-0.04
146,2227917.153,934302.639,5.86,0.09,-0.06
147,2227922.305,934299.9896,5.79,0.08,-0.07
148,2227927.369,934297.356,5.71,0.09,-0.08
149,2227932.337,934294.7578,5.61,0.09,-0.1
150,2227937.204,934292.2127,5.49,0.11,-0.12
151,2227941.976,934289.7318,5.38,0.12,-0.11
152,2227946.661,934287.3243,5.27,0.11,-0.11
153,2227951.266,934284.9995,5.16,0.11,-0.11
154,2227955.8,934282.7666,5.05,0.12,-0.11
155,2227960.271,934280.6348,4.95,0.12,-0.1
156,2227964.686,934278.6134,4.86,0.12,-0.09
157,2227969.052,934276.7144,4.76,0.13,-0.1
158,2227973.364,934274.9601,4.66,0.16,-0.1
159,2227977.617,934273.3759,4.54,0.18,-0.12
160,2227981.806,934271.9868,4.41,0.2,-0.13
161,2227985.923,934270.8182,4.28,0.23,-0.13
162,2227989.963,934269.8951,4.14,0.26,-0.14
163,2227993.927,934269.2327,4.02,0.27,-0.12
164,2227997.834,934268.8056,3.93,0.24,-0.09
165,2228001.713,934268.5786,3.89,0.2,-0.04
166,2228005.589,934268.5161,3.88,0.17,-0.01
167,2228009.491,934268.5829,3.9,0.13,0.02
168,2228013.443,934268.7436,3.96,0.1,0.06
169,2228017.474,934268.9628,4.04,0.1,0.08
170,2228021.61,934269.2032,4.14,0.11,0.1
171,2228025.875,934269.4206,4.27,0.12,0.13
172,2228030.293,934269.5688,4.42,0.17,0.15
173,2228034.888,934269.6017,4.6,0.22,0.18
174,2228039.686,934269.473,4.8,0.26,0.2
175,2228044.708,934269.1368,5.03,0.3,0.23
176,2228049.98,934268.5467,5.31,0.35,0.28
177,2228055.519,934267.6684,5.61,0.4,0.3
178,2228061.314,934266.5147,5.91,0.37,0.3
179,2228067.348,934265.1099,6.2,0.34,0.29
180,2228073.603,934263.4785,6.46,0.33,0.26
181,2228080.063,934261.6451,6.71,0.28,0.25
182,2228086.709,934259.6339,6.94,0.26,0.23
183,2228093.521,934257.4693,7.15,0.22,0.21
184,2228100.468,934255.1749,7.32,0.19,0.17
185,2228107.516,934252.774,7.45,0.15,0.13
186,2228114.632,934250.29,7.54,0.11,0.09
187,2228121.78,934247.7463,7.59,0.07,0.05
188,2228128.928,934245.1661,7.6,0.04,0.01
189,2228136.04,934242.573,7.57,0.04,-0.03
190,2228143.09,934239.9874,7.51,0.06,-0.06
191,2228150.072,934237.4192,7.44,0.07,-0.07
192,2228156.988,934234.8751,7.37,0.07,-0.07
193,2228163.84,934232.3621,7.3,0.08,-0.07
194,2228170.629,934229.8871,7.23,0.07,-0.07
195,2228177.356,934227.457,7.15,0.07,-0.08
196,2228184.029,934225.0762,7.08,0.08,-0.07
197,2228190.675,934222.738,7.04,0.04,-0.04
198,2228197.326,934220.4334,7.04,0.04,0
199,2228204.016,934218.1534,7.07,0.04,0.03
200,2228210.777,934215.8887,7.13,0.07,0.06
201,2228217.642,934213.6303,7.23,0.11,0.1
202,2228224.644,934211.369,7.36,0.13,0.13
203,2228231.807,934209.0972,7.51,0.16,0.15
204,2228239.123,934206.8133,7.66,0.16,0.15
205,2228246.576,934204.5171,7.8,0.13,0.14
206,2228254.149,934202.2085,7.92,0.12,0.12
207,2228261.824,934199.8874,8.02,0.11,0.1
208,2228269.587,934197.5536,8.11,0.08,0.09
209,2228277.419,934195.2069,8.18,0.07,0.07
210,2228285.3,934192.847,8.23,0.05,0.05
211,2228293.188,934190.4731,8.24,0.01,0.01
212,2228301.037,934188.0841,8.2,0.04,-0.04
213,2228308.8,934185.679,8.13,0.09,-0.07
214,2228316.432,934183.2568,8.01,0.13,-0.12
215,2228323.885,934180.8163,7.84,0.18,-0.17
216,2228331.113,934178.3527,7.64,0.22,-0.2
217,2228338.067,934175.8457,7.39,0.28,-0.25
218,2228344.697,934173.271,7.11,0.33,-0.28
219,2228350.952,934170.6043,6.8,0.38,-0.31
220,2228356.783,934167.8216,6.46,0.44,-0.34
