time,X,Y,speed,acc,real_acc
0,2227963.405,934269.2881,4.52,0.01,0
1,2227962.359,934264.8664,4.54,0.04,0.02
2,2227961.271,934260.4136,4.58,0.05,0.04
3,2227960.123,934255.9203,4.64,0.07,0.06
4,2227958.901,934251.3784,4.7,0.09,0.06
5,2227957.599,934246.7846,4.77,0.09,0.07
6,2227956.217,934242.1366,4.85,0.1,0.08
7,2227954.752,934237.4321,4.93,0.1,0.08
8,2227953.201,934232.669,5.01,0.1,0.08
9,2227951.566,934227.8433,5.1,0.11,0.09
10,2227949.854,934222.9443,5.19,0.1,0.09
11,2227948.077,934217.9597,5.29,0.11,0.1
12,2227946.244,934212.8772,5.4,0.11,0.11
13,2227944.367,934207.6843,5.52,0.12,0.12
14,2227942.456,934202.3719,5.65,0.12,0.13
15,2227940.523,934196.944,5.76,0.12,0.11
16,2227938.579,934191.4077,5.87,0.11,0.11
17,2227936.636,934185.77,5.96,0.1,0.09
18,2227934.705,934180.0382,6.05,0.09,0.09
19,2227932.799,934174.2194,6.12,0.09,0.07
20,2227930.927,934168.3251,6.18,0.08,0.06
21,2227929.092,934162.3839,6.22,0.06,0.04
22,2227927.298,934156.4291,6.22,0.04,0
23,2227925.546,934150.4938,6.19,0.04,-0.03
24,2227923.839,934144.6109,6.13,0.07,-0.06
25,2227922.176,934138.8097,6.03,0.09,-0.1
26,2227920.553,934133.1028,5.93,0.1,-0.1
27,2227918.96,934127.499,5.83,0.11,-0.1
28,2227917.391,934122.007,5.71,0.11,-0.12
29,2227915.837,934116.6354,5.59,0.12,-0.12
30,2227914.296,934111.3915,5.47,0.13,-0.12
31,2227912.783,934106.2762,5.33,0.12,-0.14
32,2227911.32,934101.2893,5.2,0.14,-0.13
33,2227909.927,934096.4301,5.05,0.15,-0.15
34,2227908.625,934091.6982,4.91,0.16,-0.14
35,2227907.436,934087.0932,4.76,0.17,-0.15
36,2227906.386,934082.6156,4.6,0.18,-0.16
37,2227905.531,934078.2693,4.43,0.23,-0.17
38,2227904.93,934074.0595,4.25,0.3,-0.18
39,2227904.645,934069.991,4.08,0.35,-0.17
40,2227904.737,934066.0688,3.92,0.4,-0.16
41,2227905.273,934062.2989,3.81,0.47,-0.11
42,2227906.338,934058.6904,3.76,0.55,-0.05
43,2227908.025,934055.2537,3.83,0.64,0.07
44,2227910.426,934051.9989,4.04,0.73,0.21
45,2227913.633,934048.9361,4.43,0.83,0.39
46,2227917.716,934046.0723,4.99,0.89,0.56
47,2227922.663,934043.4004,5.62,0.89,0.63
48,2227928.439,934040.9104,6.29,0.85,0.67
49,2227935.008,934038.5919,6.97,0.81,0.68
50,2227942.337,934036.4349,7.64,0.78,0.67
51,2227950.39,934034.429,8.3,0.74,0.66
52,2227959.118,934032.5631,8.93,0.69,0.63
53,2227968.41,934030.8218,9.45,0.57,0.52
54,2227978.139,934029.1886,9.87,0.45,0.42
55,2227988.18,934027.6473,10.16,0.32,0.29
56,2227998.406,934026.1814,10.33,0.2,0.17
57,2228008.699,934024.7757,10.39,0.08,0.06
58,2228018.969,934023.4187,10.36,0.05,-0.03
59,2228029.134,934022.1,10.25,0.11,-0.11
60,2228039.112,934020.8095,10.06,0.19,-0.19
61,2228048.821,934019.5366,9.79,0.27,-0.27
62,2228058.194,934018.2727,9.46,0.34,-0.33
63,2228067.224,934017.0152,9.12,0.34,-0.34
64,2228075.921,934015.7632,8.79,0.33,-0.33
65,2228084.292,934014.5158,8.46,0.33,-0.33
66,2228092.346,934013.2719,8.15,0.32,-0.31
67,2228100.092,934012.0308,7.84,0.3,-0.31
68,2228107.552,934010.7899,7.56,0.29,-0.28
69,2228114.802,934009.5416,7.36,0.21,-0.2
70,2228121.934,934008.2765,7.24,0.12,-0.12
71,2228129.037,934006.9854,7.22,0.04,-0.02
72,2228136.202,934005.6591,7.29,0.08,0.07
73,2228143.511,934004.2904,7.44,0.15,0.15
74,2228151.009,934002.8809,7.63,0.19,0.19
75,2228158.733,934001.434,7.86,0.22,0.23
76,2228166.719,933999.9534,8.12,0.27,0.26
77,2228175.005,933998.4427,8.42,0.3,0.3
78,2228183.609,933996.908,8.74,0.31,0.32
79,2228192.479,933995.3665,9,0.27,0.26
80,2228201.545,933993.8377,9.19,0.2,0.19
81,2228210.737,933992.3413,9.31,0.12,0.12
82,2228219.986,933990.8971,9.36,0.08,0.05
83,2228229.221,933989.5246,9.34,0.07,-0.02
84,2228238.37,933988.2402,9.24,0.13,-0.1
85,2228247.353,933987.0466,9.06,0.19,-0.18
86,2228256.086,933985.9431,8.8,0.27,-0.26
87,2228264.486,933984.9291,8.46,0.34,-0.34
88,2228272.47,933984.004,8.04,0.43,-0.42
89,2228279.968,933983.1653,7.55,0.49,-0.49
90,2228286.969,933982.4045,7.04,0.51,-0.51
91,2228293.472,933981.711,6.54,0.5,-0.5
92,2228299.478,933981.0745,6.04,0.49,-0.5
93,2228304.988,933980.4846,5.54,0.5,-0.5
94,2228310.012,933979.9314,5.05,0.49,-0.49
95,2228314.591,933979.4067,4.61,0.44,-0.44
96,2228318.779,933978.9029,4.22,0.39,-0.39
97,2228322.626,933978.4121,3.88,0.34,-0.34
98,2228326.184,933977.9269,3.59,0.29,-0.29
99,2228329.505,933977.4393,3.36,0.24,-0.23
100,2228332.642,933976.9439,3.18,0.18,-0.18
101,2228335.655,933976.4432,3.05,0.13,-0.13
102,2228338.607,933975.9419,2.99,0.06,-0.06
103,2228341.56,933975.4446,2.99,0,0
104,2228344.577,933974.9561,3.06,0.07,0.07
105,2228347.725,933974.4795,3.18,0.13,0.12
