time,X,Y,speed,acc,real_acc
0,2227368.335,934258.3923,1.22,0,0
1,2227369.361,934259.0383,1.21,0.01,-0.01
2,2227370.371,934259.6692,1.19,0.03,-0.02
3,2227371.359,934260.2794,1.16,0.03,-0.03
4,2227372.318,934260.8633,1.12,0.04,-0.04
5,2227373.237,934261.4157,1.07,0.05,-0.05
6,2227374.105,934261.9339,1.01,0.06,-0.06
7,2227374.906,934262.4155,0.93,0.08,-0.08
8,2227375.625,934262.8583,0.84,0.09,-0.09
9,2227376.248,934263.26,0.74,0.11,-0.1
10,2227376.759,934263.6184,0.62,0.12,-0.12
11,2227377.145,934263.9323,0.5,0.13,-0.12
12,2227377.389,934264.2057,0.37,0.16,-0.13
13,2227377.476,934264.4433,0.25,0.15,-0.12
14,2227377.39,934264.6503,0.22,0.18,-0.03
15,2227377.116,934264.8316,0.33,0.18,0.11
16,2227376.636,934264.9921,0.51,0.21,0.18
17,2227375.937,934265.1374,0.71,0.22,0.2
18,2227375.006,934265.2746,0.94,0.23,0.23
19,2227373.83,934265.4115,1.18,0.25,0.24
20,2227372.398,934265.5558,1.44,0.25,0.26
21,2227370.698,934265.7152,1.71,0.27,0.27
22,2227368.718,934265.8976,1.99,0.28,0.28
23,2227366.454,934266.1117,2.27,0.28,0.28
24,2227363.938,934266.3715,2.53,0.26,0.26
25,2227361.209,934266.692,2.75,0.22,0.22
26,2227358.307,934267.0884,2.93,0.19,0.18
27,2227355.273,934267.5756,3.07,0.16,0.14
28,2227352.145,934268.1688,3.18,0.14,0.11
29,2227348.964,934268.8831,3.26,0.13,0.08
30,2227345.772,934269.7363,3.3,0.14,0.04
31,2227342.624,934270.7576,3.31,0.17,0.01
32,2227339.58,934271.979,3.28,0.23,-0.03
33,2227336.697,934273.4324,3.23,0.28,-0.05
34,2227334.034,934275.1498,3.17,0.35,-0.06
35,2227331.648,934277.1632,3.12,0.4,-0.05
36,2227329.588,934279.5,3.12,0.47,0
37,2227327.858,934282.1696,3.18,0.47,0.06
38,2227326.451,934285.1768,3.32,0.47,0.14
39,2227325.361,934288.5265,3.52,0.47,0.2
40,2227324.582,934292.2235,3.78,0.47,0.26
41,2227324.107,934296.2726,4.08,0.46,0.3
42,2227323.926,934300.6724,4.4,0.46,0.32
43,2227324.022,934305.3965,4.73,0.43,0.33
44,2227324.369,934310.412,5.03,0.39,0.3
45,2227324.947,934315.6861,5.31,0.34,0.28
46,2227325.733,934321.1861,5.56,0.31,0.25
47,2227326.704,934326.8793,5.78,0.26,0.22
48,2227327.841,934332.7293,5.96,0.23,0.18
49,2227329.135,934338.6865,6.1,0.19,0.14
50,2227330.582,934344.6978,6.18,0.17,0.08
51,2227332.176,934350.7098,6.22,0.14,0.04
52,2227333.912,934356.6696,6.21,0.16,-0.01
53,2227335.785,934362.5238,6.15,0.17,-0.06
54,2227337.796,934368.2198,6.04,0.21,-0.11
55,2227339.963,934373.706,5.9,0.26,-0.14
56,2227342.315,934378.9314,5.73,0.32,-0.17
57,2227344.875,934383.845,5.54,0.38,-0.19
58,2227347.671,934388.3956,5.34,0.43,-0.2
59,2227350.728,934392.5322,5.14,0.49,-0.2
60,2227354.071,934396.2038,4.97,0.55,-0.17
61,2227357.724,934399.3702,4.83,0.59,-0.14
62,2227361.696,934402.0351,4.78,0.6,-0.05
63,2227365.994,934404.2134,4.82,0.58,0.04
64,2227370.624,934405.9196,4.93,0.57,0.11
65,2227375.592,934407.1685,5.12,0.57,0.19
66,2227380.906,934407.9748,5.37,0.56,0.25
67,2227386.561,934408.3596,5.67,0.55,0.3
68,2227392.512,934408.3693,5.95,0.47,0.28
69,2227398.703,934408.0568,6.2,0.4,0.25
70,2227405.079,934407.4748,6.4,0.33,0.2
71,2227411.584,934406.6762,6.55,0.25,0.15
72,2227418.161,934405.7137,6.65,0.18,0.1
73,2227424.763,934404.6357,6.69,0.12,0.04
74,2227431.371,934403.4721,6.71,0.08,0.02
75,2227437.971,934402.2483,6.71,0.06,0
76,2227444.553,934400.9896,6.7,0.04,-0.01
77,2227451.103,934399.7216,6.67,0.03,-0.03
78,2227457.611,934398.4695,6.63,0.04,-0.04
79,2227464.068,934397.2538,6.57,0.06,-0.06
80,2227470.487,934396.0748,6.53,0.06,-0.04
81,2227476.883,934394.9278,6.5,0.04,-0.03
82,2227483.272,934393.808,6.49,0.03,-0.01
83,2227489.672,934392.7108,6.49,0.02,0
84,2227496.098,934391.6314,6.52,0.04,0.03
85,2227502.566,934390.5651,6.56,0.04,0.04
86,2227509.085,934389.5074,6.6,0.05,0.04
87,2227515.631,934388.4549,6.63,0.03,0.03
88,2227522.172,934387.4041,6.62,0.01,-0.01
89,2227528.676,934386.3517,6.59,0.04,-0.03
90,2227535.11,934385.2944,6.52,0.07,-0.07
91,2227541.444,934384.2289,6.42,0.1,-0.1
92,2227547.654,934383.1524,6.3,0.12,-0.12
93,2227553.752,934382.065,6.19,0.11,-0.11
94,2227559.76,934380.967,6.11,0.09,-0.08
95,2227565.7,934379.8591,6.04,0.07,-0.07
96,2227571.593,934378.7417,6,0.05,-0.04
97,2227577.461,934377.6154,5.98,0.02,-0.02
98,2227583.322,934376.481,5.97,0.01,-0.01
99,2227589.186,934375.3403,5.97,0.01,0
100,2227595.056,934374.1951,5.98,0.01,0.01
101,2227600.94,934373.0474,5.99,0.01,0.01
102,2227606.841,934371.8994,6.01,0.02,0.02
103,2227612.767,934370.7528,6.04,0.03,0.03
104,2227618.713,934369.6102,6.06,0.02,0.02
105,2227624.645,934368.4763,6.04,0.02,-0.02
106,2227630.52,934367.356,5.98,0.06,-0.06
107,2227636.294,934366.2546,5.88,0.1,-0.1
108,2227641.923,934365.177,5.73,0.14,-0.15
109,2227647.365,934364.1285,5.54,0.19,-0.19
110,2227652.589,934363.1128,5.32,0.22,-0.22
111,2227657.615,934362.1295,5.12,0.19,-0.2
