time,X,Y,speed,acc,real_acc
0,2227378.075,934266.8601,0.78,0.02,0
1,2227378.812,934266.6301,0.77,0.01,-0.01
2,2227379.514,934266.4039,0.74,0.04,-0.03
3,2227380.157,934266.184,0.68,0.06,-0.06
4,2227380.717,934265.9731,0.6,0.08,-0.08
5,2227381.169,934265.7739,0.49,0.11,-0.11
6,2227381.49,934265.589,0.37,0.13,-0.12
7,2227381.655,934265.4216,0.24,0.15,-0.13
8,2227381.647,934265.2778,0.14,0.18,-0.1
9,2227381.45,934265.1644,0.23,0.19,0.09
10,2227381.047,934265.088,0.41,0.2,0.18
11,2227380.422,934265.0553,0.63,0.24,0.22
12,2227379.558,934265.0731,0.86,0.24,0.23
13,2227378.439,934265.1481,1.12,0.26,0.26
14,2227377.049,934265.2869,1.4,0.28,0.28
15,2227375.371,934265.4964,1.69,0.3,0.29
16,2227373.389,934265.7831,2,0.31,0.31
17,2227371.086,934266.1539,2.33,0.33,0.33
18,2227368.461,934266.6185,2.67,0.34,0.34
19,2227365.572,934267.1986,2.95,0.29,0.28
20,2227362.494,934267.9191,3.16,0.24,0.21
21,2227359.299,934268.8048,3.32,0.2,0.16
22,2227356.061,934269.8807,3.41,0.2,0.09
23,2227352.854,934271.1714,3.46,0.21,0.05
24,2227349.747,934272.7015,3.46,0.26,0
25,2227346.786,934274.4933,3.46,0.3,0
26,2227344.015,934276.569,3.46,0.35,0
27,2227341.475,934278.9506,3.48,0.38,0.02
28,2227339.21,934281.6602,3.53,0.43,0.05
29,2227337.261,934284.7197,3.63,0.47,0.1
30,2227335.671,934288.1514,3.78,0.52,0.15
31,2227334.472,934291.9719,4,0.55,0.22
32,2227333.653,934296.1777,4.28,0.54,0.28
33,2227333.194,934300.7597,4.6,0.52,0.32
34,2227333.074,934305.7092,4.95,0.5,0.35
35,2227333.271,934311.0172,5.31,0.48,0.36
36,2227333.766,934316.6748,5.68,0.45,0.37
37,2227334.537,934322.6617,6.04,0.43,0.36
38,2227335.569,934328.9116,6.33,0.37,0.29
39,2227336.847,934335.347,6.56,0.31,0.23
40,2227338.357,934341.8902,6.72,0.25,0.16
41,2227340.082,934348.4635,6.8,0.22,0.08
42,2227342.01,934354.9893,6.8,0.2,0
43,2227344.124,934361.3899,6.74,0.22,-0.06
44,2227346.416,934367.5903,6.61,0.27,-0.13
45,2227348.907,934373.5255,6.44,0.33,-0.17
46,2227351.622,934379.1333,6.23,0.4,-0.21
47,2227354.588,934384.3513,6,0.46,-0.23
48,2227357.832,934389.1171,5.77,0.52,-0.23
49,2227361.38,934393.3685,5.54,0.61,-0.23
50,2227365.255,934397.0575,5.35,0.65,-0.19
51,2227369.467,934400.1939,5.25,0.64,-0.1
52,2227374.023,934402.802,5.25,0.64,0
53,2227378.928,934404.9061,5.34,0.62,0.09
54,2227384.19,934406.5303,5.51,0.59,0.17
55,2227389.815,934407.699,5.74,0.58,0.23
56,2227395.809,934408.4362,6.04,0.57,0.3
57,2227402.169,934408.7709,6.37,0.55,0.33
58,2227408.85,934408.7491,6.68,0.47,0.31
59,2227415.798,934408.4218,6.96,0.41,0.28
60,2227422.959,934407.8396,7.18,0.33,0.22
61,2227430.277,934407.0533,7.36,0.26,0.18
62,2227437.699,934406.1138,7.48,0.18,0.12
63,2227445.175,934405.0657,7.55,0.13,0.07
64,2227452.674,934403.9307,7.58,0.09,0.03
65,2227460.17,934402.7243,7.59,0.07,0.01
66,2227467.638,934401.462,7.57,0.06,-0.02
67,2227475.052,934400.1596,7.53,0.07,-0.04
68,2227482.385,934398.8325,7.45,0.09,-0.08
69,2227489.613,934397.4964,7.35,0.1,-0.1
70,2227496.714,934396.1641,7.22,0.13,-0.13
71,2227503.68,934394.8376,7.09,0.13,-0.13
72,2227510.51,934393.516,6.96,0.14,-0.13
73,2227517.202,934392.1985,6.82,0.14,-0.14
74,2227523.752,934390.8844,6.68,0.14,-0.14
75,2227530.159,934389.5728,6.54,0.14,-0.14
76,2227536.419,934388.2629,6.4,0.15,-0.14
77,2227542.538,934386.9545,6.26,0.14,-0.14
78,2227548.542,934385.6501,6.14,0.12,-0.12
79,2227554.466,934384.3524,6.06,0.08,-0.08
80,2227560.344,934383.0646,6.02,0.04,-0.04
81,2227566.21,934381.7896,6,0.01,-0.02
82,2227572.098,934380.5303,6.02,0.03,0.02
83,2227578.041,934379.2885,6.07,0.05,0.05
84,2227584.065,934378.0602,6.15,0.08,0.08
85,2227590.198,934376.8405,6.25,0.11,0.1
86,2227596.465,934375.6243,6.38,0.14,0.13
87,2227602.891,934374.4065,6.54,0.16,0.16
88,2227609.503,934373.1821,6.72,0.18,0.18
89,2227616.327,934371.9459,6.93,0.21,0.21
90,2227623.38,934370.6937,7.16,0.23,0.23
91,2227630.651,934369.4247,7.38,0.22,0.22
92,2227638.119,934368.1391,7.58,0.2,0.2
93,2227645.764,934366.8369,7.76,0.17,0.18
94,2227653.566,934365.5181,7.91,0.16,0.15
95,2227661.504,934364.1829,8.05,0.14,0.14
96,2227669.558,934362.8321,8.17,0.11,0.12
97,2227677.694,934361.4702,8.25,0.09,0.08
98,2227685.882,934360.1025,8.3,0.05,0.05
99,2227694.088,934358.734,8.32,0.02,0.02
100,2227702.278,934357.3702,8.3,0.02,-0.02
101,2227710.421,934356.0162,8.25,0.05,-0.05
102,2227718.483,934354.6773,8.17,0.08,-0.08
103,2227726.436,934353.3573,8.06,0.11,-0.11
104,2227734.277,934352.0541,7.95,0.11,-0.11
105,2227742.005,934350.7645,7.84,0.11,-0.11
106,2227749.622,934349.4849,7.72,0.11,-0.12
107,2227757.127,934348.212,7.61,0.11,-0.11
108,2227764.523,934346.9423,7.5,0.11,-0.11
109,2227771.816,934345.6709,7.4,0.11,-0.1
110,2227779.042,934344.3868,7.34,0.06,-0.06
111,2227786.245,934343.0776,7.32,0.04,-0.02
112,2227793.467,934341.7307,7.35,0.04,0.03
113,2227800.752,934340.3337,7.42,0.08,0.07
114,2227808.142,934338.8741,7.53,0.13,0.11
115,2227815.679,934337.3395,7.69,0.17,0.16
116,2227823.395,934335.7182,7.88,0.2,0.19
117,2227831.263,934334.0031,8.05,0.18,0.17
118,2227839.245,934332.1877,8.19,0.15,0.14
119,2227847.303,934330.2659,8.28,0.13,0.09
120,2227855.397,934328.2312,8.35,0.11,0.07
121,2227863.491,934326.0774,8.37,0.12,0.02
122,2227871.545,934323.8014,8.37,0.14,0
123,2227879.53,934321.4136,8.33,0.13,-0.04
124,2227887.417,934318.9276,8.27,0.14,-0.06
125,2227895.176,934316.3571,8.17,0.15,-0.1
126,2227902.777,934313.7156,8.05,0.17,-0.12
127,2227910.191,934311.0169,7.89,0.2,-0.16
128,2227917.389,934308.2746,7.7,0.21,-0.19
129,2227924.347,934305.5033,7.49,0.24,-0.21
130,2227931.064,934302.7211,7.27,0.24,-0.22
131,2227937.544,934299.9473,7.05,0.24,-0.22
132,2227943.791,934297.2009,6.82,0.23,-0.23
133,2227949.809,934294.5013,6.6,0.24,-0.22
134,2227955.603,934291.8674,6.36,0.24,-0.24
135,2227961.177,934289.319,6.13,0.23,-0.23
136,2227966.537,934286.8779,5.89,0.24,-0.24
137,2227971.687,934284.5663,5.65,0.25,-0.24
138,2227976.635,934282.4064,5.4,0.25,-0.25
139,2227981.386,934280.4206,5.15,0.26,-0.25
140,2227985.945,934278.631,4.9,0.28,-0.25
141,2227990.319,934277.0599,4.65,0.29,-0.25
142,2227994.516,934275.7246,4.4,0.29,-0.25
143,2227998.561,934274.6221,4.19,0.29,-0.21
144,2228002.48,934273.7444,4.02,0.25,-0.17
145,2228006.301,934273.0835,3.88,0.24,-0.14
146,2228010.051,934272.6315,3.78,0.22,-0.1
147,2228013.757,934272.3804,3.71,0.2,-0.07
148,2228017.447,934272.3222,3.69,0.19,-0.02
149,2228021.154,934272.4381,3.71,0.18,0.02
150,2228024.937,934272.6671,3.79,0.13,0.08
151,2228028.861,934272.9371,3.93,0.15,0.14
152,2228032.993,934273.1761,4.14,0.21,0.21
153,2228037.396,934273.3124,4.41,0.29,0.27
154,2228042.136,934273.2738,4.74,0.38,0.33
