time,X,Y,speed,acc,real_acc
0,2227391.25,934254.1202,0.1,0,0
1,2227391.286,934254.0222,0.1,0,0
2,2227391.3,934253.9196,0.1,0.03,0
3,2227391.28,934253.8105,0.11,0.03,0.01
4,2227391.209,934253.6927,0.14,0.05,0.03
5,2227391.074,934253.5642,0.19,0.06,0.05
6,2227390.861,934253.423,0.26,0.08,0.07
7,2227390.556,934253.267,0.34,0.1,0.08
8,2227390.143,934253.0942,0.45,0.1,0.11
9,2227389.606,934252.904,0.57,0.13,0.12
10,2227388.916,934252.7021,0.72,0.15,0.15
11,2227388.041,934252.4957,0.9,0.19,0.18
12,2227386.948,934252.292,1.11,0.21,0.21
13,2227385.606,934252.0981,1.36,0.25,0.25
14,2227383.982,934251.9213,1.63,0.28,0.27
15,2227382.044,934251.7686,1.94,0.32,0.31
16,2227379.761,934251.6474,2.29,0.34,0.35
17,2227377.11,934251.5655,2.65,0.37,0.36
18,2227374.11,934251.5346,3,0.35,0.35
19,2227370.787,934251.5668,3.32,0.33,0.32
20,2227367.171,934251.6745,3.62,0.31,0.3
21,2227363.289,934251.87,3.89,0.28,0.27
22,2227359.168,934252.1656,4.13,0.26,0.24
23,2227354.848,934252.5773,4.34,0.23,0.21
24,2227350.405,934253.1357,4.48,0.19,0.14
25,2227345.927,934253.8751,4.54,0.18,0.06
26,2227341.502,934254.8298,4.53,0.22,-0.01
27,2227337.218,934256.0343,4.45,0.29,-0.08
28,2227333.162,934257.5227,4.32,0.36,-0.13
29,2227329.413,934259.3284,4.16,0.45,-0.16
30,2227326.007,934261.4797,4.03,0.48,-0.13
31,2227322.975,934264.0042,3.95,0.53,-0.08
32,2227320.345,934266.9291,3.93,0.57,-0.02
33,2227318.144,934270.2818,4.01,0.61,0.08
34,2227316.403,934274.0897,4.19,0.65,0.18
35,2227315.138,934278.37,4.46,0.67,0.27
36,2227314.33,934283.099,4.8,0.64,0.34
37,2227313.944,934288.2429,5.16,0.59,0.36
38,2227313.95,934293.7679,5.53,0.55,0.37
39,2227314.316,934299.6402,5.88,0.5,0.35
40,2227315.01,934305.8258,6.22,0.45,0.34
41,2227316.001,934312.2854,6.54,0.4,0.32
42,2227317.266,934318.9572,6.79,0.35,0.25
43,2227318.783,934325.7738,6.98,0.29,0.19
44,2227320.532,934332.6678,7.11,0.24,0.13
45,2227322.489,934339.5718,7.18,0.21,0.07
46,2227324.633,934346.4184,7.17,0.19,-0.01
47,2227326.949,934353.1393,7.11,0.22,-0.06
48,2227329.448,934359.6616,6.98,0.27,-0.13
49,2227332.147,934365.9116,6.81,0.34,-0.17
50,2227335.064,934371.8154,6.59,0.41,-0.22
51,2227338.216,934377.2992,6.33,0.48,-0.26
52,2227341.62,934382.2893,6.04,0.55,-0.29
53,2227345.297,934386.7236,5.76,0.63,-0.28
54,2227349.277,934390.5875,5.55,0.64,-0.21
55,2227353.594,934393.8782,5.43,0.66,-0.12
56,2227358.282,934396.5929,5.42,0.69,-0.01
57,2227363.373,934398.7286,5.52,0.7,0.1
58,2227368.902,934400.2827,5.74,0.74,0.22
59,2227374.888,934401.2629,6.07,0.73,0.33
60,2227381.295,934401.7193,6.42,0.67,0.35
61,2227388.073,934401.713,6.78,0.6,0.36
62,2227395.17,934401.3046,7.11,0.51,0.33
63,2227402.537,934400.5551,7.41,0.43,0.3
64,2227410.124,934399.5252,7.66,0.36,0.25
65,2227417.88,934398.2759,7.86,0.28,0.2
66,2227425.758,934396.8627,8,0.2,0.14
67,2227433.727,934395.3202,8.12,0.16,0.12
68,2227441.756,934393.678,8.2,0.12,0.08
69,2227449.818,934391.9653,8.24,0.08,0.04
70,2227457.883,934390.2117,8.25,0.04,0.01
71,2227465.923,934388.4466,8.23,0.04,-0.02
72,2227473.909,934386.6963,8.18,0.05,-0.05
73,2227481.818,934384.9754,8.09,0.09,-0.09
74,2227489.628,934383.2953,7.99,0.11,-0.1
75,2227497.316,934381.6675,7.86,0.13,-0.13
76,2227504.861,934380.1036,7.7,0.17,-0.16
77,2227512.238,934378.6149,7.53,0.17,-0.17
78,2227519.429,934377.2102,7.33,0.21,-0.2
79,2227526.422,934375.8865,7.12,0.22,-0.21
80,2227533.207,934374.6381,6.9,0.21,-0.22
81,2227539.775,934373.4592,6.67,0.23,-0.23
82,2227546.117,934372.344,6.44,0.24,-0.23
83,2227552.223,934371.2869,6.2,0.24,-0.24
84,2227558.094,934370.2814,5.96,0.25,-0.24
85,2227563.771,934369.3184,5.76,0.2,-0.2
86,2227569.304,934368.3881,5.61,0.15,-0.15
87,2227574.744,934367.4808,5.52,0.09,-0.09
88,2227580.141,934366.5865,5.47,0.04,-0.05
89,2227585.547,934365.6956,5.48,0.01,0.01
90,2227591.007,934364.7994,5.53,0.05,0.05
91,2227596.55,934363.8939,5.62,0.08,0.09
92,2227602.202,934362.9762,5.73,0.11,0.11
93,2227607.988,934362.0436,5.86,0.14,0.13
94,2227613.932,934361.0932,6.02,0.15,0.16
95,2227620.059,934360.1221,6.2,0.19,0.18
96,2227626.389,934359.1277,6.41,0.2,0.21
97,2227632.924,934358.1086,6.61,0.2,0.2
98,2227639.66,934357.0633,6.82,0.21,0.21
99,2227646.592,934355.9907,7.02,0.19,0.2
100,2227653.719,934354.8893,7.21,0.2,0.19
101,2227661.035,934353.758,7.4,0.19,0.19
102,2227668.532,934352.5966,7.59,0.18,0.19
103,2227676.183,934351.4094,7.74,0.15,0.15
104,2227683.955,934350.202,7.87,0.12,0.13
105,2227691.816,934348.98,7.95,0.09,0.08
106,2227699.732,934347.7489,8.01,0.06,0.06
107,2227707.672,934346.5142,8.04,0.02,0.03
108,2227715.604,934345.2808,8.03,0.01,-0.01
109,2227723.504,934344.0513,8,0.03,-0.03
110,2227731.35,934342.8274,7.94,0.05,-0.06
111,2227739.119,934341.611,7.86,0.08,-0.08
112,2227746.789,934340.404,7.76,0.1,-0.1
113,2227754.337,934339.2081,7.64,0.12,-0.12
114,2227761.747,934338.024,7.5,0.14,-0.14
115,2227769.028,934336.8471,7.38,0.13,-0.12
