time,X,Y,speed,acc,real_acc
0,2227340.871,934265.6548,2.39,0.04,0
1,2227340.047,934267.8949,2.39,0.04,0
2,2227339.267,934270.1309,2.37,0.04,-0.02
3,2227338.538,934272.3512,2.34,0.05,-0.03
4,2227337.866,934274.544,2.29,0.07,-0.05
5,2227337.257,934276.6978,2.24,0.07,-0.05
6,2227336.718,934278.8008,2.17,0.09,-0.07
7,2227336.255,934280.8413,2.09,0.1,-0.08
8,2227335.874,934282.8077,2,0.11,-0.09
9,2227335.583,934284.6883,1.9,0.13,-0.1
10,2227335.383,934286.473,1.8,0.13,-0.1
11,2227335.267,934288.1574,1.69,0.13,-0.11
12,2227335.223,934289.7388,1.58,0.13,-0.11
13,2227335.239,934291.2145,1.48,0.12,-0.1
14,2227335.303,934292.5816,1.37,0.12,-0.11
15,2227335.404,934293.8375,1.26,0.12,-0.11
16,2227335.531,934294.9792,1.15,0.12,-0.11
17,2227335.671,934296.0042,1.03,0.12,-0.12
18,2227335.815,934296.9127,0.92,0.11,-0.11
19,2227335.959,934297.7177,0.82,0.11,-0.1
20,2227336.1,934298.4351,0.73,0.08,-0.09
21,2227336.238,934299.0812,0.66,0.07,-0.07
22,2227336.37,934299.6718,0.61,0.06,-0.05
23,2227336.495,934300.2231,0.57,0.04,-0.04
24,2227336.61,934300.7512,0.54,0.02,-0.03
25,2227336.713,934301.2701,0.53,0.01,-0.01
26,2227336.807,934301.7868,0.53,0.01,0
27,2227336.893,934302.3059,0.53,0,0
28,2227336.973,934302.8325,0.53,0.01,0
29,2227337.047,934303.3714,0.54,0.01,0.01
30,2227337.119,934303.9276,0.56,0.02,0.02
31,2227337.189,934304.5058,0.58,0.02,0.02
32,2227337.26,934305.1117,0.61,0.03,0.03
33,2227337.335,934305.7536,0.65,0.03,0.04
34,2227337.417,934306.4407,0.69,0.05,0.04
35,2227337.511,934307.182,0.75,0.05,0.06
36,2227337.619,934307.9866,0.81,0.06,0.06
37,2227337.745,934308.8636,0.89,0.08,0.08
